Paris (2015) Actifs 25-54 ans	Chefs d'entreprise	Cadres-Supérieurs 	Cadres-Moyens 	Employés 	Ouvriers
Louvre	601	3651	1491	991	325
Bourse	647	5969	2239	1404	599
Temple	1161	9005	3811	2206	713
Hôtel-de-Ville	871	5908	2621	1738	418
Panthéon	1145	12188	4699	2627	849
Luxembourg	1062	7971	2842	1813	487
Palais-Bourbon	1532	10642	3417	2836	638
Élysée	1203	7546	2461	2236	633
Opéra	1880	15821	6028	3534	1247
Entrepôt	2322	21477	9936	7228	2937
Popincourt	3211	35521	17426	10837	4143
Reuilly	2172	29285	14779	10556	3550
Gobelins	2604	28770	16884	15580	5503
Observatoire	2116	26809	11685	9988	2832
Vaugirard	4066	50880	21436	15601	4676
Passy	4730	27917	10677	8916	2382
Batignolles-Monceau	4095	37101	15304	11636	4051
Buttes-Montmartre	4299	37529	21749	17266	8808
Buttes-Chaumont	3213	25364	18532	17815	7803
Ménilmontant	3096	30256	21563	18382	7829
