The deportation of Jews from France. Cities of birth and dates of train departures (J-L Pinol 2019)	27_03_1942	05_06_1942	22_06_1942	25_06_1942	28_06_1942	17_07_1942	19_07_1942	20_07_1942	22_07_1942	24_07_1942	27_07_1942	29_07_1942	31_07_1942	03_08_1942	05_08_1942	07_08_1942	10_08_1942	12_08_1942	14_08_1942	17_08_1942	19_08_1942	21_08_1942	24_08_1942	26_08_1942	28_08_1942	31_08_1942	02_09_1942	04_09_1942	07_09_1942	09_09_1942	11_09_1942	14_09_1942	16_09_1942	18_09_1942	21_09_1942	23_09_1942	25_09_1942	28_09_1942	30_09_1942	04_11_1942	06_11_1942	09_11_1942	11_11_1942	09_02_1943	11_02_1943	13_02_1943	02_03_1943	04_03_1943	06_03_1943	23_03_1943	25_03_1943	23_06_1943	18_07_1943	31_07_1943	02_09_1943	07_10_1943	28_10_1943	20_11_1943	07_12_1943	17_12_1943	20_01_1944	03_02_1944	10_02_1944	07_03_1944	27_03_1944	13_04_1944	29_04_1944	15_05_1944	20_05_1944	30_05_1944	30_06_1944	31_07_1944
PARIS	208	66	170	1	27	12	23	66	6	14	7	13	3	7	26	194	2	1	63	506	381	500	500	319	226	121	106	3	44	16	54	51	53	171	323	220	122	103	17	33	37	122	74	86	100	357	29	7	2	47	234	165	249	229	247	187	173	232	143	141	170	205	268	231	175	132	119	145	192	159	289	380
MARSEILLE	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	4	2	0	0	0	0	0	1	0	0	0	3	0	0	0	118	8	5	24	5	16	10	35	16	9	16	7	14	9	11	8	12	20	7	67	15	12	14
STRASBOURG	2	2	2	0	0	1	1	11	0	0	2	1	1	1	0	0	1	2	2	2	0	0	0	1	1	2	2	1	1	1	3	0	0	2	11	9	0	1	1	2	2	0	0	1	2	13	0	1	2	1	11	1	7	8	10	12	4	28	15	2	8	11	22	12	9	57	15	10	8	16	11	17
ORAN	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	22	9	0	1	0	0	1	0	0	0	0	11	0	0	0	100	11	12	11	7	14	4	7	10	9	3	6	9	3	13	5	10	5	5	9	4	4	13
FRANKFURT	3	0	2	1	1	4	2	2	3	5	3	4	8	8	6	5	21	12	12	5	9	5	1	9	6	5	15	13	9	11	6	2	7	2	3	2	6	0	0	4	5	0	1	3	3	0	2	14	8	1	3	1	2	1	1	3	4	11	1	0	5	5	2	4	0	3	4	5	2	7	1	2
BERLIN	5	2	7	4	2	6	18	13	12	10	4	5	15	9	16	9	52	28	29	26	19	4	7	33	20	35	29	53	42	46	28	19	29	7	0	5	2	1	3	14	13	2	7	12	15	0	7	25	24	5	6	11	5	3	10	11	7	14	16	14	14	9	8	10	10	2	3	5	3	12	5	6
VIENNA	5	3	1	14	8	23	10	17	9	15	13	12	7	7	7	5	0	100	44	35	46	3	6	60	59	73	118	101	129	160	57	26	66	13	0	9	10	4	7	38	46	1	7	10	8	3	18	53	35	10	8	18	12	5	5	28	24	19	24	17	10	20	11	25	23	13	12	11	16	20	17	20
SALONIQUE	10	1	3	0	0	3	4	10	0	2	0	2	1	0	0	2	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	1	5	6	8	44	1	3	1	2	0	693	105	29	34	5	3	1	21	106	17	23	18	13	21	24	21	19	18	23	55	29	7	16	21	12	17	15	46	11	15	15
CONSTANTINOPLE	24	5	43	1	1	5	8	7	4	5	0	7	2	1	4	2	0	0	0	5	3	6	22	2	3	2	2	0	0	0	1	54	14	48	23	14	3	11	0	10	4	20	15	17	24	16	5	1	1	37	17	20	13	18	71	28	26	20	13	18	64	33	28	38	31	18	14	31	79	36	55	59
ANTWERP	0	1	1	0	3	3	3	2	0	0	0	0	0	3	4	0	1	0	2	0	1	3	1	2	5	6	3	27	24	21	22	11	8	11	0	11	0	0	7	5	2	0	3	6	15	0	0	6	13	0	1	14	1	4	1	4	7	14	11	2	12	0	1	8	5	5	12	2	4	4	7	2
AMSTERDAM	0	1	0	1	0	1	2	1	1	0	0	1	0	4	0	3	0	0	0	0	0	5	10	21	4	10	1	1	2	1	4	7	14	7	1	5	0	1	33	13	4	0	14	8	32	0	1	15	11	1	3	26	7	2	2	6	3	7	2	3	7	4	0	6	3	1	0	2	2	3	2	1
WARSAW	124	160	109	223	217	182	169	52	204	207	203	180	236	175	189	188	2	12	61	33	57	95	102	55	38	69	29	40	53	70	74	62	58	60	58	60	14	27	3	47	75	10	45	117	95	42	127	74	111	47	58	96	48	71	37	56	63	54	57	22	51	29	105	69	59	22	83	43	42	53	63	49
