	Aéropole	Atelier relais	Centre d'activité	Centre d'affaires	Centre de gros	Cité internationnale	Couveuse	Eurofret	Europarc	Friche industrielle	Immeuble d'accueil	Immeuble intelligent	Incubateur	Jardin d'entreprises	Parc aéroportuaire	Parc club	Parc d'activité économique	Parc d'affaires	Parc d'affaires int.	Parc d'entreprises	Parc immobilier de bureau	Parc industriel et technologique	Parc scientifique	Parc technologique	Parc tertiaire	Pépinière d'entreprises	Plateforme logistique	Plateforme multimodale	Plateforme tertiaire	Quartier d'affaires	Ruche d'entreprises	Technoforum	Technoparc	Technopole	Télébase	Téléport	Usine relais	Village d'activité	Village d'entreprises	ZAC	ZI	ZI Verticale	ZIRST	Zone artisanale	Zone commerciale	Zone d'activité	Zone d'activité tertiaire	Zone d'entreprises	Zone industrialo-portuaire
Aéropole	72	1	1	0	16	3	0	30	4	1	0	0	0	0	36	0	1	1	3	0	2	3	2	2	0	0	21	9	2	0	0	2	2	4	5	23	1	0	0	2	0	0	0	0	1	0	0	0	32
Atelier relais	1	72	5	0	2	2	8	2	0	5	11	3	9	9	2	2	3	1	2	7	3	3	0	1	1	15	4	5	6	0	14	1	1	2	1	0	43	6	5	9	10	11	1	9	1	6	4	6	6
Centre d'activité	1	5	72	13	5	5	2	1	15	6	7	4	0	17	1	17	26	14	9	23	8	7	4	5	18	11	3	3	14	14	9	4	7	6	1	0	4	31	24	14	20	10	7	15	14	34	22	29	5
Centre d'affaires	0	0	13	72	5	24	1	3	13	1	22	16	0	7	2	18	12	44	35	13	37	3	3	4	32	6	3	4	28	59	6	9	5	8	3	2	0	3	7	5	5	4	4	2	13	6	32	7	0
Centre de gros	16	2	5	5	72	2	1	35	4	2	0	1	0	3	22	0	2	5	5	3	3	2	1	1	4	3	35	20	10	5	3	0	1	2	3	17	3	1	3	4	9	5	1	3	12	9	7	10	25
Cité internationnale	3	2	5	24	2	72	1	8	17	3	5	4	1	5	3	9	7	17	30	5	16	5	4	4	8	4	3	3	11	21	3	7	4	9	4	4	1	6	4	4	1	1	4	2	3	3	8	1	2
Couveuse	0	8	2	1	1	1	72	0	1	1	6	3	23	14	0	4	3	3	3	5	2	0	0	0	3	20	1	0	3	1	20	0	1	1	1	1	7	6	8	2	0	2	0	1	0	2	3	2	0
Eurofret	30	2	1	3	35	8	0	72	12	2	0	0	0	0	37	2	1	3	8	1	4	4	2	2	1	0	38	21	6	2	0	0	1	3	6	23	3	0	0	3	5	3	1	2	4	3	2	5	37
Europarc	4	0	15	13	4	17	1	12	72	3	4	3	0	11	8	22	21	22	26	20	13	15	14	15	18	7	4	4	9	10	7	7	18	13	6	3	0	14	12	2	5	4	2	3	2	8	9	12	6
Friche industrielle	1	5	6	1	2	3	1	2	3	72	2	1	1	3	2	0	4	1	1	5	3	6	2	2	2	3	3	1	2	2	4	1	1	2	2	0	5	3	4	12	13	9	4	5	4	9	4	11	2
