	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V
1	10.09739 	22.1068 	39.51534 	39.30882 	58.83899 	58.70531 	61.16038 	102.4109 	104.1352 	199.2308 	37.01567 	36.63113 	36.88366 	36.62133 	32.47673 	32.3952 	32.46597 	31.77684 	32.06456 	34.73261 	60.43112 	2.54 
2	10.16212 	22.12851 	39.52365 	39.42221 	58.77252 	58.70453 	61.22761 	102.4317 	104.1387 	199.2124 	37.14173 	36.7742 	36.90575 	36.64143 	32.50573 	32.41253 	32.49165 	31.63348 	32.08842 	34.78173 	60.41877 	2.6 
3	10.07466 	22.03301 	39.53142 	39.59006 	58.70614 	58.61119 	61.16433 	102.2961 	104.0185 	199.1592 	37.07624 	36.66247 	36.93921 	36.63796 	32.50659 	32.41319 	32.56119 	31.70001 	32.02685 	34.73969 	60.50403 	2.58 
4	9.9657 	21.98835 	39.50836 	39.31047 	58.61364 	58.63498 	61.08267 	102.4147 	104.1439 	199.1032 	37.08993 	36.69895 	36.85755 	36.61291 	32.54069 	32.39061 	32.55446 	31.63615 	32.04809 	34.69796 	60.46508 	2.58 
5	9.95276 	21.95496 	39.48654 	39.52502 	58.6215 	58.57546 	61.12503 	102.346 	104.0773 	199.1244 	37.11549 	36.77819 	36.93901 	36.63496 	32.52476 	32.52093 	32.46846 	31.66563 	32.02699 	34.67884 	60.40443 	2.58 
6	10.00502 	22.06962 	39.50536 	39.61829 	58.63823 	58.66657 	61.11966 	102.4894 	104.1642 	199.2418 	37.13178 	36.75991 	37.04577 	36.72794 	32.55858 	32.4914 	32.58226 	31.65645 	32.02145 	34.63567 	60.49584 	2.58 
7	10.07199 	22.04605 	39.51374 	39.4506 	58.71443 	58.65555 	61.17553 	102.4148 	104.1047 	199.1664 	37.07096 	36.66709 	36.83689 	36.52478 	32.5008 	32.41946 	32.57166 	31.7589 	32.00693 	34.69596 	60.4174 	2.58 
8	9.90261 	21.9413 	39.49054 	39.29642 	58.68389 	58.57663 	61.20444 	102.3228 	104.0388 	199.3054 	37.09797 	36.6272 	36.99861 	36.72972 	32.18772 	32.49953 	32.56597 	31.60859 	32.28396 	34.69818 	60.41992 	2.58 
9	10.01876 	22.06499 	39.54519 	39.50093 	58.63148 	58.65963 	61.07352 	102.455 	104.1486 	199.2797 	37.44288 	36.93551 	37.30207 	36.93949 	32.4838 	32.41809 	32.51102 	31.71697 	31.97448 	34.76066 	60.57269 	2.58 
10	9.92988 	22.01859 	39.52044 	39.34306 	58.82928 	58.58051 	61.09493 	102.4343 	104.2092 	199.6466 	37.47477 	37.01773 	37.30324 	36.9591 	32.48358 	32.50844 	32.61078 	31.70262 	32.02085 	34.73384 	60.48895 	2.58 
11	10.07489 	22.08214 	39.52418 	39.39924 	58.71266 	58.82543 	61.09944 	102.4165 	104.1621 	199.1344 	37.45016 	36.93337 	37.24539 	36.83573 	32.51917 	32.48276 	32.58977 	31.7656 	32.08451 	34.68482 	60.41352 	2.58 
12	10.38766 	22.43681 	39.5643 	39.61799 	59.07705 	59.04627 	61.24465 	102.5935 	104.2802 	199.4771 	37.56142 	37.17389 	37.45379 	37.09675 	32.50794 	32.44951 	32.58138 	31.57608 	32.09411 	34.6811 	60.55371 	2.62 
13	10.16865 	22.1696 	39.54536 	39.55388 	58.7832 	58.77473 	61.21839 	102.4519 	104.1997 	199.2453 	37.60484 	37.10567 	37.3844 	36.90915 	32.50133 	32.3369 	32.47829 	31.6668 	32.17933 	34.70066 	60.58992 	2.58 
14	10.00362 	21.96885 	39.5276 	39.63559 	58.68906 	58.64391 	61.17438 	102.3641 	104.1782 	199.1691 	37.59769 	37.04959 	37.44115 	36.97078 	32.51636 	32.51583 	32.54011 	31.84823 	32.23112 	34.72416 	60.43025 	2.58 
15	10.11956 	22.10438 	39.52994 	39.5823 	58.74776 	58.6674 	61.17892 	102.368 	104.1257 	199.0784 	37.51474 	37.0763 	37.18144 	36.83782 	32.48346 	32.44643 	32.45142 	31.8296 	32.06428 	34.7355 	60.51262 	2.58 
16	10.08271 	22.06995 	39.52671 	39.59509 	58.73554 	58.67621 	61.22574 	102.4096 	104.067 	199.1041 	37.42461 	36.93893 	37.2696 	36.91282 	32.46239 	32.3702 	32.50449 	31.77118 	32.03516 	34.73507 	60.48168 	2.58 
17	10.00262 	22.01792 	39.51599 	39.54583 	58.63247 	58.67422 	61.11388 	102.3664 	104.0494 	199.1575 	37.34996 	36.85601 	37.38044 	37.0322 	32.50681 	32.45315 	32.52038 	31.70834 	32.02761 	34.69736 	60.45657 	2.56 
18	10.06576 	22.08676 	39.56379 	39.76174 	58.26439 	59.87597 	61.33138 	101.917 	103.9515 	199.5247 	38.80893 	38.64751 	38.46043 	38.70537 	32.46867 	32.63882 	32.70469 	31.82556 	31.2878 	34.60796 	60.71903 	2.62 
19	9.95507 	22.03031 	39.53084 	39.5413 	58.69885 	58.69084 	61.15575 	102.3058 	104.0548 	199.2294 	37.47556 	36.97512 	37.20303 	36.90254 	32.48983 	32.45482 	32.62614 	31.76859 	32.1001 	34.74214 	60.4815 	2.56 
20	10.10315 	22.09415 	39.54078 	39.55181 	58.63938 	58.82705 	61.22195 	102.4314 	104.1316 	199.2021 	37.57634 	36.99875 	37.19536 	36.83833 	32.51005 	32.46386 	32.57463 	31.67807 	32.20081 	34.76785 	60.5026 	2.58 
21	9.89612 	21.90048 	39.52968 	39.54895 	58.68523 	58.63829 	61.11166 	102.3286 	104.0388 	199.0872 	37.4159 	36.95988 	37.20896 	36.86459 	32.544 	32.50122 	32.56373 	31.87474 	32.15085 	34.67063 	60.41602 	2.56 
22	10.01947 	22.04158 	39.53666 	39.3889 	58.62789 	58.7271 	61.05043 	102.3852 	104.0773 	199.2591 	37.47397 	36.98527 	37.2425 	36.89598 	32.524 	32.43899 	32.61232 	31.63389 	32.11396 	34.69223 	60.39385 	2.56 
23	10.044 	22.04593 	39.52513 	39.41823 	58.74727 	58.66804 	61.09367 	102.4208 	104.1374 	199.3179 	37.07548 	36.72385 	36.944 	36.66783 	32.49837 	32.44842 	32.51826 	31.79299 	32.12084 	34.73038 	60.56203 	2.58 
24	9.96671 	22.01315 	39.5244 	39.48179 	58.70513 	58.63905 	61.14532 	102.343 	104.0362 	199.2216 	37.08675 	36.70137 	36.84867 	36.61571 	32.50785 	32.40968 	32.58888 	31.86396 	32.11519 	34.72494 	60.42631 	2.56 
