	Télébase	Technoforum	ZIRST	Parc industriel et technologique	Parc technologique	Parc scientifique	Technopole	Technoparc	Plateforme tertiaire	Zone d'activité tertiaire	Parc tertiaire	Parc d'affaires	Quartier d'affaires	Centre d'affaires	Parc immobilier de bureau	Immeuble intelligent	Immeuble d'accueil	Cité internationnale	Parc d'affaires int.	Village d'entreprises	Parc d'entreprises	Parc d'activité économique	Centre d'activité	Village d'activité	Europarc	Parc club	Zone commerciale	ZAC	Zone artisanale	Zone d'activité	ZI	Zone d'entreprises	Friche industrielle	ZI Verticale	Usine relais	Atelier relais	Pépinière d'entreprises	Ruche d'entreprises	Jardin d'entreprises	Couveuse	Incubateur	Téléport	Aéropole	Parc aéroportuaire	Zone industrialo-portuaire	Plateforme logistique	Eurofret	Centre de gros	Plateforme multimodale
Télébase	0	8	7	10	9	8	8	7	5	4	2	3	4	3	8	9	7	4	3	1	2	1	1	1	6	4	1	3	1	1	0	3	2	2	1	1	1	1	1	1	1	15	5	4	6	6	6	3	5
Technoforum	8	0	32	38	40	38	44	42	6	3	4	6	8	9	8	7	2	7	7	2	2	3	4	2	7	5	1	1	0	1	2	2	1	3	1	1	4	2	2	0	0	6	2	1	2	1	0	0	1
ZIRST	7	32	0	45	46	47	40	40	3	11	5	5	6	4	2	7	3	4	3	7	3	6	7	8	2	4	5	11	10	8	12	11	4	8	1	1	2	1	1	0	0	5	0	1	5	2	1	1	1
Parc industriel et technologique	 10	38	45	0	58	57	46	50	3	2	8	7	4	3	6	4	1	5	8	9	11	15	7	8	15	7	4	5	5	7	12	10	6	10	3	3	5	3	4	0	0	5	3	8	5	3	4	2	3
Parc technologique	9	40	46	58	0	61	51	58	5	3	12	11	6	4	8	6	3	4	7	9	12	14	5	8	15	11	1	2	3	2	5	7	2	5	1	1	6	5	5	0	0	5	2	6	3	2	2	1	4
Parc scientifique	8	38	47	57	61	0	46	53	3	1	10	9	5	3	8	4	2	4	10	7	8	12	4	5	14	9	3	2	5	2	6	4	2	5	0	0	3	3	3	0	0	4	2	6	2	2	2	1	2
Technopole	8	44	40	46	51	46	0	54	8	5	6	10	9	8	10	6	2	9	8	4	5	6	6	5	13	7	2	2	1	4	3	5	2	4	2	2	6	3	4	1	0	4	4	3	4	2	3	2	4
Technoparc	7	42	40	50	58	53	54	0	6	6	13	16	6	5	10	6	3	4	10	10	14	12	7	10	18	15	1	1	2	4	4	7	1	4	1	1	8	5	7	1	0	5	2	5	3	2	1	1	4
Plateforme tertiaire	5	6	3	3	5	3	8	6	0	41	41	30	26	28	37	12	18	11	23	11	14	14	14	8	9	18	10	7	1	7	4	8	2	5	5	6	10	8	12	3	3	1	2	3	5	16	6	10	13
Zone d'activité tertiaire	4	3	11	2	3	1	5	6	41	0	50	37	28	32	31	13	18	8	25	20	18	17	22	13	9	21	16	15	13	19	14	20	4	10	4	4	11	8	14	3	1	1	0	0	5	7	2	7	5
Parc tertiaire	2	4	5	8	12	10	6	13	41	50	0	45	31	32	34	12	19	8	31	24	32	26	18	17	18	30	11	7	3	10	5	12	2	4	1	1	15	10	19	3	1	1	0	5	0	4	1	4	5
Parc d'affaires	3	6	5	7	11	9	10	16	30	37	45	0	44	44	32	11	17	17	42	20	29	27	14	15	22	33	10	5	4	11	4	10	1	4	1	1	15	12	20	3	1	1	1	5	0	2	3	5	5
Quartier d'affaires	4	8	6	4	6	5	9	6	26	28	31	44	0	59	34	15	19	21	31	10	12	12	14	5	10	18	14	6	4	7	5	6	2	4	0	0	6	6	7	1	0	1	0	1	0	3	2	5	4
Centre d'affaires	3	9	4	3	4	3	8	5	28	32	32	44	59	0	37	16	22	24	35	7	13	12	13	3	13	18	13	5	2	6	5	7	1	4	0	0	6	6	7	1	0	2	0	2	0	3	3	5	4
Parc immobilier de bureau	8	8	2	6	8	8	10	10	37	31	34	32	34	37	0	20	28	16	23	6	11	10	8	7	13	18	9	6	0	2	1	2	3	4	2	3	6	6	7	2	2	3	2	4	3	7	4	3	8
Immeuble intelligent	9	7	7	4	6	4	6	6	12	13	12	11	15	16	20	0	24	4	7	3	5	3	4	4	3	11	3	3	0	0	0	1	1	5	3	3	3	3	2	3	3	2	0	0	0	4	0	1	6
Immeuble d'accueil	7	2	3	1	3	2	2	3	18	18	19	17	19	22	28	24	0	5	12	5	10	5	7	6	4	15	6	6	0	2	2	3	2	6	11	11	11	11	9	6	7	1	0	1	0	2	0	0	6
